cv,cp,twosigdown,onesigdown,exp,onesigup,twosigup
1.0,-1.0,0.5446,0.7631,1.1357,1.718,2.4909
1.0,-0.9,0.5942,0.8332,1.2417,1.8808,2.7312
1.0,-0.8,0.6527,0.9162,1.3667,2.0735,3.0141
1.0,-0.7,0.7207,1.0129,1.5122,2.2973,3.3434
1.0,-0.6,0.7945,1.1165,1.6689,2.5396,3.7021
1.0,-0.5,0.8746,1.2315,1.8428,2.8078,4.1006
1.0,-0.4,0.9746,1.3726,2.0557,3.1362,4.5826
1.0,-0.3,1.0916,1.5376,2.3047,3.5196,5.1498
1.0,-0.2,1.2277,1.7296,2.5947,3.9638,5.8024
1.0,-0.1,1.376,1.9386,2.9082,4.4427,6.5077
1.0,0.0,1.5622,2.2026,3.3018,5.0439,7.381
1.0,0.1,1.7724,2.4962,3.7383,5.7033,8.3391
1.0,0.2,2.0084,2.8233,4.2188,6.4154,9.3495
1.0,0.3,2.2898,3.2085,4.7754,7.2285,10.4868
1.0,0.4,2.6122,3.6475,5.3984,8.1124,11.6925
1.0,0.5,2.9214,4.0531,5.9473,8.8542,12.6537
1.0,0.6,3.168,4.3621,6.3359,9.3382,13.231
1.0,0.7,3.3493,4.5698,6.5703,9.5854,13.4781
1.0,0.8,3.3774,4.5763,6.5254,9.4483,13.2092
1.0,0.9,3.2286,4.3555,6.1797,8.9077,12.4066
1.0,1.0,2.9775,4.0085,5.6777,8.17,11.372
